Date,Matchday,Home Team,Away Team
2026-08-22,1,Udinese,como
2026-08-22,1,Inter,Monza
2026-08-22,1,Genoa,Napoli
2026-08-22,1,Parma,Cagliari
2026-08-23,1,Frosinone,Juventus
2026-08-23,1,Venezia,Lecce
2026-08-23,1,Atalanta,Sassuolo
2026-08-23,1,Torino,AC Milan
2026-08-24,1,Bologna,Lazio
2026-08-24,1,AS Roma,Fiorentina
2026-08-28,2,AC Milan,Venezia
2026-08-29,2,Sassuolo,Torino
2026-08-29,2,Fiorentina,Frosinone
2026-08-29,2,Monza,Udinese
2026-08-29,2,Juventus,Parma
2026-08-30,2,Napoli,como
2026-08-30,2,Lazio,Genoa
2026-08-30,2,Cagliari,Inter
2026-08-31,2,Lecce,AS Roma
2026-08-31,2,Atalanta,Bologna
2026-09-04,3,Genoa,como
2026-09-05,3,Fiorentina,Torino
2026-09-05,3,Inter,Napoli
2026-09-05,3,AS Roma,Atalanta
2026-09-06,3,Frosinone,Venezia
2026-09-06,3,Parma,Monza
2026-09-06,3,Bologna,Sassuolo
2026-09-06,3,Juventus,AC Milan
2026-09-07,3,Cagliari,Lecce
2026-09-07,3,Udinese,Lazio
2026-09-11,4,Venezia,Fiorentina
2026-09-12,4,Genoa,Frosinone
2026-09-12,4,Sassuolo,Juventus
2026-09-12,4,Atalanta,Cagliari
2026-09-13,4,Torino,AS Roma
2026-09-13,4,Lecce,Monza
2026-09-13,4,como,Parma
2026-09-13,4,Napoli,Bologna
2026-09-13,4,Lazio,AC Milan
2026-09-14,4,Inter,Udinese
2026-09-18,5,Monza,Sassuolo
2026-09-19,5,Udinese,Cagliari
2026-09-19,5,Bologna,Torino
2026-09-19,5,AS Roma,Inter
2026-09-19,5,Venezia,Lazio
2026-09-20,5,Fiorentina,Napoli
2026-09-20,5,Frosinone,como
2026-09-20,5,Parma,Genoa
2026-09-20,5,Juventus,Atalanta
2026-09-20,5,AC Milan,Lecce
2026-10-11,6,Lazio,Monza
2026-10-11,6,Sassuolo,AC Milan
2026-10-11,6,Cagliari,Juventus
2026-10-11,6,Napoli,Frosinone
2026-10-11,6,Genoa,Fiorentina
2026-10-11,6,Atalanta,Venezia
2026-10-11,6,Torino,Udinese
2026-10-11,6,Inter,Parma
2026-10-11,6,Lecce,Bologna
2026-10-11,6,como,AS Roma
2026-10-18,7,AC Milan,Atalanta
2026-10-18,7,Udinese,Lecce
2026-10-18,7,Juventus,Lazio
2026-10-18,7,AS Roma,Genoa
2026-10-18,7,Bologna,Inter
2026-10-18,7,Fiorentina,como
2026-10-18,7,Frosinone,Sassuolo
2026-10-18,7,Venezia,Napoli
2026-10-18,7,Parma,Torino
2026-10-18,7,Monza,Cagliari
2026-10-25,8,Lazio,Parma
2026-10-25,8,Cagliari,Bologna
2026-10-25,8,Napoli,AS Roma
2026-10-25,8,Udinese,AC Milan
2026-10-25,8,Genoa,Venezia
2026-10-25,8,Atalanta,Frosinone
2026-10-25,8,Torino,Monza
2026-10-25,8,Inter,Fiorentina
2026-10-25,8,Lecce,Juventus
2026-10-25,8,como,Sassuolo
2026-10-28,9,Sassuolo,Lazio
2026-10-28,9,AC Milan,Bologna
2026-10-28,9,Genoa,Juventus
2026-10-28,9,AS Roma,Cagliari
2026-10-28,9,Fiorentina,Atalanta
2026-10-28,9,Torino,como
2026-10-28,9,Frosinone,Lecce
2026-10-28,9,Venezia,Inter
2026-10-28,9,Parma,Udinese
2026-10-28,9,Monza,Napoli
2026-11-01,10,Lazio,Cagliari
2026-11-01,10,Sassuolo,Fiorentina
2026-11-01,10,AC Milan,Inter
2026-11-01,10,Udinese,AS Roma
2026-11-01,10,Juventus,Napoli
2026-11-01,10,Atalanta,Parma
2026-11-01,10,Bologna,Monza
2026-11-01,10,Frosinone,Torino
2026-11-01,10,Lecce,Genoa
2026-11-01,10,como,Venezia
2026-11-08,11,Cagliari,Frosinone
2026-11-08,11,Napoli,Lazio
2026-11-08,11,Genoa,AC Milan
2026-11-08,11,AS Roma,Sassuolo
2026-11-08,11,Fiorentina,Juventus
2026-11-08,11,Torino,Lecce
2026-11-08,11,Inter,como
2026-11-08,11,Venezia,Udinese
2026-11-08,11,Parma,Bologna
2026-11-08,11,Monza,Atalanta
2026-11-22,12,Lazio,Lecce
2026-11-22,12,Sassuolo,Genoa
2026-11-22,12,AC Milan,Frosinone
2026-11-22,12,Napoli,Torino
2026-11-22,12,Juventus,Venezia
2026-11-22,12,Atalanta,Inter
2026-11-22,12,Bologna,Udinese
2026-11-22,12,Parma,AS Roma
2026-11-22,12,como,Cagliari
2026-11-22,12,Monza,Fiorentina
2026-11-29,13,Sassuolo,Napoli
2026-11-29,13,Cagliari,AC Milan
2026-11-29,13,Udinese,Fiorentina
2026-11-29,13,AS Roma,Monza
2026-11-29,13,Torino,Lazio
2026-11-29,13,Inter,Genoa
2026-11-29,13,Frosinone,Parma
2026-11-29,13,Venezia,Bologna
2026-11-29,13,Lecce,Atalanta
2026-11-29,13,como,Juventus
2026-12-06,14,Lazio,Atalanta
2026-12-06,14,AC Milan,Parma
2026-12-06,14,Napoli,Lecce
2026-12-06,14,Genoa,Torino
2026-12-06,14,Juventus,Udinese
2026-12-06,14,Bologna,AS Roma
2026-12-06,14,Fiorentina,Cagliari
2026-12-06,14,Frosinone,Inter
2026-12-06,14,Venezia,Sassuolo
2026-12-06,14,Monza,como
2026-12-13,15,Lazio,AS Roma
2026-12-13,15,Cagliari,Venezia
