player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
De Luca;CRE;1;7,0;10,0;1;0;1 / 1;0;0;0;0;2025-26
Malen;ROM;18;6,75;9,0;14;0;3 / 4;0;2;1;0;2025-26
Martinez L.;INT;30;6,48;8,32;17;0;0 / 0;0;6;4;0;2025-26
Thuram;INT;29;6,36;7,88;13;0;0 / 0;0;6;2;0;2025-26
Lukaku;NAP;2;6,5;7,75;1;0;0 / 0;0;0;1;0;2025-26
Dimarco;INT;35;6,66;7,7;7;0;0 / 0;0;17;3;0;2025-26
Belotti;CAG;4;6,12;7,62;2;0;1 / 1;0;0;0;0;2025-26
Calhanoglu;INT;22;6,41;7,52;9;0;4 / 5;0;4;7;0;2025-26
Scamacca;ATA;23;6,20;7,5;10;0;2 / 2;0;1;2;0;2025-26
Yildiz;JUV;36;6,53;7,42;10;0;1 / 2;0;6;2;0;2025-26
Paz N.;COM;35;6,46;7,39;12;0;0 / 2;0;5;5;0;2025-26
Douvikas;COM;36;6,19;7,39;14;0;1 / 1;0;1;0;0;2025-26
Hojlund;NAP;33;6,15;7,38;12;0;1 / 1;0;5;1;0;2025-26
De Bruyne;NAP;18;6,39;7,31;5;0;3 / 3;0;2;1;0;2025-26
Vlahovic;JUV;18;6,08;7,25;7;0;1 / 1;0;0;0;0;2025-26
Simeone;TOR;32;6,23;7,25;11;0;0 / 0;0;0;1;0;2025-26
Davis K.;UDI;30;6,15;7,2;10;0;4 / 4;0;4;5;0;2025-26
McTominay;NAP;33;6,30;7,17;10;0;0 / 1;0;2;1;0;2025-26
Baturina;COM;26;6,35;7,15;6;0;0 / 0;0;3;0;0;2025-26
Berardi;SAS;26;6,23;7,12;8;0;2 / 3;0;4;2;1;2025-26
Krstovic;ATA;32;6,08;7,11;10;0;0 / 0;0;5;4;0;2025-26
Santos A.;NAP;14;6,29;7,11;4;0;0 / 0;0;0;1;0;2025-26
Esposito F.P.;INT;32;6,31;7,05;7;0;0 / 0;0;3;1;0;2025-26
Kostic;JUV;11;6,18;7,05;3;0;0 / 0;0;1;1;0;2025-26
Bonazzoli;CRE;35;6,19;7,04;10;0;3 / 3;0;2;4;0;2025-26
Boga;JUV;13;6,08;7,04;4;0;0 / 0;0;1;1;0;2025-26
Zielinski;INT;31;6,5;7,03;6;0;1 / 1;0;2;3;0;2025-26
Pulisic;MIL;29;6,12;6,98;8;0;0 / 1;0;4;0;0;2025-26
Nkunku;MIL;28;6,12;6,98;7;0;5 / 5;0;3;0;0;2025-26
Berisha M.;LEC;13;6,27;6,96;2;0;0 / 0;0;3;0;0;2025-26
Dovbyk;ROM;12;6,12;6,96;3;0;0 / 0;0;1;0;0;2025-26
Atta;UDI;32;6,42;6,94;5;0;0 / 0;0;3;3;0;2025-26
Da Cunha;COM;36;6,35;6,90;6;0;4 / 4;0;4;4;0;2025-26
Esposito Se.;CAG;36;6,29;6,90;7;0;1 / 1;0;4;6;0;2025-26
"Soul&#xE8;";ROM;32;6,16;6,86;6;0;0 / 0;0;5;1;0;2025-26
