player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Retegui;ATA;36;6.43;8.6;25;0;4 / 5;0;7;2;0;2024-25
Venturino;GEN;3;0.65;0.85;2;0;0 / 0;0;0;0;0;2024-25
Orsolini;BOL;29;6.41;8.07;15;0;3 / 3;0;4;2;0;2024-25
Kean;FIO;32;6.38;8.03;19;0;1 / 2;0;2;6;0;2024-25
Lookman;ATA;31;6.44;7.95;15;0;1 / 1;0;4;4;0;2024-25
Ondrejka;PAR;10;6.45;7.95;5;0;0 / 0;0;0;0;0;2024-25
Diao;COM;14;6.46;7.89;7;0;0 / 0;0;0;2;0;2024-25
Thuram;INT;32;6.23;7.66;14;0;0 / 0;0;4;1;0;2024-25
McTominay;NAP;34;6.54;7.65;12;0;0 / 0;0;3;3;0;2024-25
Kolo Muani;JUV;16;6.06;7.62;8;0;1 / 1;0;1;0;0;2024-25
Martinez L.;INT;31;6.31;7.55;12;0;0 / 0;0;3;1;0;2024-25
Saelemaekers;ROM;22;6.57;7.55;7;0;0 / 0;0;3;5;0;2024-25
Pulisic;MIL;34;6.38;7.49;11;0;3 / 4;0;8;1;0;2024-25
Lukaku;NAP;36;6.19;7.47;14;0;3 / 4;0;9;4;0;2024-25
Zapata D.;TOR;7;6.21;7.43;3;0;0 / 0;0;0;1;0;2024-25
Dybala;ROM;22;6.48;7.39;6;0;3 / 3;0;3;2;0;2024-25
Ndoye;BOL;30;6.47;7.33;8;0;2 / 2;0;4;4;0;2024-25
Vlahovic;JUV;25;6.04;0.73;10;0;4 / 4;0;3;3;0;2024-25
Raspadori;NAP;19;6.32;7.29;6;0;0 / 0;0;1;1;0;2024-25
Pedro;LAZ;28;6.21;7.27;10;0;2 / 2;0;1;3;0;2024-25
Reijnders;MIL;37;6.41;7.27;10;0;0 / 0;0;4;2;1;2024-25
Dovbyk;ROM;32;6.08;7.27;12;0;2 / 2;0;2;0;0;2024-25
Leao;MIL;34;6.38;7.25;8;0;0 / 0;0;8;5;0;2024-25
Arnautovic;INT;13;6.19;7.23;4;0;0 / 0;0;2;2;0;2024-25
Castellanos;LAZ;29;6.34;7.21;10;0;2 / 3;0;3;7;1;2024-25
Kvaratskhelia;NAP;17;6.18;7.21;5;0;1 / 1;0;3;1;0;2024-25
Elmas;TOR;13;6.27;7.19;4;0;0 / 0;0;0;0;0;2024-25
Iling Junior;BOL;3;6.17;7.17;1;0;0 / 0;0;0;0;0;2024-25
Cornet;GEN;6;0.6;7.17;2;0;0 / 0;0;1;0;0;2024-25
Paz N.;COM;33;6.53;7.11;6;0;0 / 1;0;7;6;0;2024-25
Gudmundsson A.;FIO;22;6.25;7.07;6;0;2 / 2;0;1;2;0;2024-25
Yildiz;JUV;34;6.4;7.07;7;0;0 / 0;0;4;2;1;2024-25
Zaccagni;LAZ;34;6.26;0.7;8;0;2 / 2;0;6;10;0;2024-25
