PORTIERI

Fascia,Squadra,Nome,Prezzo,Budget_%,Integr.,Titol.
Portieri Top,Roma,Svilar,55,12%,100%,100%
Portieri Top,Milan,Maignan,50,10%,60%,100%
Portieri Top,Napoli,Meret,50,10%,20%,80%
Portieri Top,Como,Butez,45,9%,100%,100%
Portieri Top,Atalanta,Carnesecchi,45,9%,100%,100%
Portieri Top,Inter,Martinez Jo.,40,8%,100%,70%
Portieri Top,Juventus,Vicario,40,8%,60%,70%
Portieri Semi-Top,Fiorentina,De Gea,25,7%,100%,100%
Portieri Semi-Top,Lazio,Mandas,25,5%,100%,100%
Portieri Semi-Top,Bologna,Skorupski,25,5%,60%,100%
Portieri Terza Fascia,Genoa,Bijlow,15,3%,20%,100%
Portieri Terza Fascia,Cagliari,Caprile,10,2%,60%,100%
Portieri Terza Fascia,Lecce,Falcone,10,2%,100%,100%
Portieri Terza Fascia,Udinese,Okoye,10,2%,20%,100%
Portieri Terza Fascia,Sassuolo,Muric,5,1%,60%,100%
Portieri Quarta Fascia,Cagliari,Sherri,1,1%,100%,10%
Portieri Quarta Fascia,Parma,Corvi,3,0.6%,100%,100%
Portieri Quarta Fascia,Parma,Daffara,1,0.2%,100%,10%
Portieri Quarta Fascia,Venezia,Stankovic F.,1,0.2%,60%,100%
Portieri Quarta Fascia,Frosinone,Palmisani,1,0.2%,100%,100%
Portieri Quarta Fascia,Monza,Thiam,1,0.2%,100%,100%
Portieri Quarta Fascia,Frosinone,Desplanches,1,0.2%,20%,10%
Portieri Quarta Fascia,Lecce,Bleve,1,0.2%,60%,10%
Portieri Quarta Fascia,Fiorentina,Christensen O.,1,0.2%,100%,10%
Portieri Quarta Fascia,Napoli,Contini,1,0.2%,20%,10%
Portieri Quarta Fascia,Roma,De Marzi,1,0.2%,100%,10%
Portieri Quarta Fascia,Inter,Di Gennaro,1,0.2%,60%,10%
Portieri Quarta Fascia,Parma,Ghidotti,1,0.2%,100%,10%
Portieri Quarta Fascia,Roma,Gollini,1,0.2%,20%,10%
Portieri Quarta Fascia,Venezia,Grandi,1,0.2%,100%,10%
Portieri Quarta Fascia,Bologna,Happonen,1,0.2%,100%,10%
Portieri Quarta Fascia,Fiorentina,Lezzerini,1,0.2%,20%,10%
Portieri Quarta Fascia,Frosinone,Lolic,1,0.2%,100%,10%
Portieri Quarta Fascia,Torino,Mascardi,1,0.2%,100%,100%
Portieri Quarta Fascia,Venezia,Montipò,1,0.2%,100%,10%
Portieri Quarta Fascia,Lazio,Motta,1,0.2%,60%,10%
Portieri Quarta Fascia,Udinese,Mrozek,1,0.2%,20%,10%
Portieri Quarta Fascia,Udinese,Padelli,1,0.2%,60%,10%
Portieri Quarta Fascia,Torino,Paleari,1,0.2%,100%,10%
Portieri Quarta Fascia,Lecce,Penev,1,0.2%,100%,10%
Portieri Quarta Fascia,Bologna,Pessina Mas.,1,0.2%,100%,10%
Portieri Quarta Fascia,Udinese,Piana,1,0.2%,100%,10%
Portieri Quarta Fascia,Juventus,Pinsoglio,1,0.2%,60%,10%
Portieri Quarta Fascia,Frosinone,Pisseri,1,0.2%,100%,10%
Portieri Quarta Fascia,Venezia,Pozzi,1,0.2%,100%,10%
Portieri Quarta Fascia,Cagliari,Radunovic,1,0.2%,60%,10%
Portieri Quarta Fascia,Lazio,Renzetti,1,0.2%,100%,10%
Portieri Quarta Fascia,Sassuolo,Russo A.,1,0.2%,100%,10%
Portieri Quarta Fascia,Sassuolo,Satalino,1,0.2%,60%,10%
Portieri Quarta Fascia,Torino,Siviero,1,0.2%,60%,10%
Portieri Quarta Fascia,Genoa,Sommariva,1,0.2%,100%,10%
Portieri Quarta Fascia,Atalanta,Sportiello,1,0.2%,20%,10%
Portieri Quarta Fascia,Genoa,Stolz,1,0.2%,100%,10%
Portieri Quarta Fascia,Monza,Strajnar,1,0.2%,100%,10%
Portieri Quarta Fascia,Milan,Terracciano,1,0.2%,100%,10%
Portieri Quarta Fascia,Como,Tornqvist,1,0.2%,100%,10%
Portieri Quarta Fascia,Milan,Torriani,1,0.2%,100%,10%
